feature,mi_score
can help,0.007874217787469773
tech,0.007873297989536843
fun,0.007818602182535273
too,0.007761018382097085
back,0.007746330190107065
going to,0.007725044465338726
night,0.007642937214875856
them,0.007627883734266261
reality,0.007540703165703544
in the,0.007428435079826601
miss,0.007409895495461116
syntactic_subordinating_conj,0.007330803351610848
are you,0.007284466424273495
with ai,0.007253393098244354
then,0.0069723231701512844
one,0.006950821312874389
could,0.006934927638279742
http,0.006862975512238911
us,0.0068430903777920715
of the,0.006841157045265334
methods,0.006818198857778901
through,0.006802229950069849
might,0.006735944770766222
isn,0.006681764289822256
on,0.006674962901442871
not,0.006667408817936593
you,0.006592101461367461
real time,0.006545233114093607
am,0.00601175914340657
weaknesses,0.00589886197963807
why,0.005829420086177262
together,0.005775980777477319
needs,0.005744795688587212
so,0.005740821387577366
his,0.00571538947726391
ll,0.005698459499710484
learner,0.005655826800378128
grading,0.005379841970149846
were,0.005345421674458173
last,0.005248469102821174
for the,0.0050893010163701735
support,0.005056721394487651
that the,0.005025264714958677
really,0.0049794936675537915
being,0.004851394878745419
how,0.004599414868997176
are,0.004583569926652764
had,0.004450944828849446
game,0.004435344490703486
said,0.004382620593722741
based,0.004370967968106987
you know,0.004335353110891171
no,0.004318910427201006
out,0.004167385104667742
stylistic_repeated_words,0.00404635338297421
while,0.0039404331947729965
isn just,0.003909936317452178
people,0.003764379037474619
about,0.0036410309524781415
new,0.003607986247067707
only,0.0034272697546433584
home,0.003219058869344149
where,0.0031497950266499153
reshaping,0.0031346818625845874
would,0.0030626702496161506
day,0.0030426301634749464
ready,0.0029862295136608985
aiinedu,0.002982519448974763
think,0.0029673725265388917
they,0.00294544617565462
im,0.002941740210176569
say,0.002785270577128518
don,0.0027668663372879543
is not,0.002677207778747581
well,0.0025588778672942514
first,0.0024833664522037058
identify,0.002464343345655262
up,0.0022865116042314337
or,0.002282118337302519
morning,0.002060528096111236
she,0.002037655501628377
still,0.0020334269816599804
own,0.002030913200150808
after,0.0019453238524633765
know,0.0019237701753727077
have,0.0019183129846445102
was,0.0018951197591712265
way,0.0018668677778792553
will,0.0018119701766956542
off,0.0016605535450051612
ever,0.001566731476992711
which,0.0015587771246794446
goodbye,0.001551221010697823
when,0.0015257552409604358
over,0.0013620282419104512
structural_is_retweet,0.001143192405619109
right,0.0011422983609383763
much,0.0011225587118797176
got,0.0011190557157552128
your,0.001102709134155333
be,0.0010356339675492432
to the,0.0008918344844295323
what,0.0008803119083597988
do,0.0008055731109990472
join,0.0005821659228208986
who,0.0
work,0.0
yes,0.0
again,0.0
stylistic_emoticon_density,0.0
made,0.0
re,0.0
on the,0.0
never,0.0
need,0.0
most,0.0
make,0.0
like,0.0
her,0.0
he,0.0
great,0.0
if,0.0
now,0.0
just,0.0
its,0.0
school,0.0
see,0.0
thanks,0.0
get,0.0
here,0.0
at,0.0
anymore,0.0
also,0.0
all,0.0
feel,0.0
did,0.0
even,0.0
at the,0.0
better,0.0
been,0.0
best,0.0
there,0.0
to be,0.0
tomorrow,0.0
today,0.0
