,Text,Synthetic
183,"The US is sending more than 100,000 doses of the Pfizer COVID-19 vaccine to India.

This comes after the Indian government declared a state of emergency in all states where it",1
184,"A moment that doesn’t get enough airtime.

I thought I was going to be the one getting woken up at 5am this morning with my wife and kids, but no",1
185,"A new study shows that people who take long Covid-19 tests have less depression than those who test only once or twice. 
Learn more at https://t.co/qmK",1
186,"A group of parents is demanding an investigation into the behaviour of Covid-19 segregation units in schools. 

They are calling for a full audit during the school ""lockdown"". https://",1
187,"The UK’s Covid response is “inadequate”, says Dr Tim Southey https://t.co/G5f7VuYJXA
",1
188,"The #COVID19 vaccine is a safe and effective tool to fight the pandemic.

The data from @WHO's recent Update on COVID-19 Vaccination shows that vaccines delivered to",1
189,"I am a mother of a child with cancer. It is my job to protect her from harm, yet I have witnessed the world turn its back on COVID-19 in order to profit from it",1
190,"@AthleticsMD @Sophia_Manso is now officially the new Director of Athletics for NCAA Division I.

Her first order of business will be to get our team",1
191,"A new study has revealed that #COVID19 can be treated effectively with anti-inflammatory drugs, such as Ivermectin.

""We have shown that this approach can amel",1
192,"I was so excited to be part of my first IFA since the end of COVID.

I did a couple things at the show that didn’t go as planned and it cost",1
193,"The Omicron variant of COVID-19 is just about to launch in the United States, according to CDC.

The vaccine will be available through a new website and official distributor sites starting",1
194,"@PaulBlanpain @YannickGauzin, the man who has been leading the fight against Covid-19 for over a year now, is finally dead. He died of",1
195,A new study published in @NatureMedicine shows that the effects of COVID-19 vaccines on immune function are not fully understood until after vaccination. https://t.co/jKm8,1
196,"A former member of the National Football League has died from COVID-19, according to his brother. https://t.co/1wCmZuV7vf

###",1
197,"I was reading an article about the effectiveness of COVID vaccines. I’m not convinced that they can be used to control future pandemics, but if we are going to use them then",1
198,"Covid-19: The People's Budget - Part 2
https://t.co/nR4bLZ2hKD https://t.co/bb0Vx",1
199,"The Omicron variant is spreading in the world.

In Switzerland, a new case was reported on August 10, with 6 deaths and 21 recoveries since then. 
https://t",1
200,"Yahoo has been getting the COVID-19 vaccine, but not everyone is eligible for the shot. I would like to share a story about one person who was eligible for the vaccine and now doesn",1
201,"The Federal Government is canceling the COVID-19 vaccine mandate for all school employees.
 
The move comes after a rise in cases, resulting in more than 400 deaths and thousands of injuries",1
202,"The new #COVID19 variant is causing problems for some people.
 
Here are the top 10 life-altering behaviors that you should avoid if you're experiencing symptoms of COVID:",1
203,"A month ago, this was the headline of @the_times.

“The Covid crisis is a disaster for Britain” https://t.co/8hZW4",1
204,"I wish that all of you who are on the #COVID19Vaccine should also be protected from this virus. For those who are not vaccinated, please do it now so everyone can protect",1
205,"The #COVID19 surge in the US has been largely driven by Delta variant: https://t.co/TQKZbYXs9O

###

   ",1
206,"I am so glad that @DrSJU_Perez and I are now vaccinated against Covid-19.
I have been following the news for months about his vaccine, but never",1
207,"""I have been on the receiving end of COVID misinformation and are very disappointed that it is still able to spread in our country. I urge everyone to get vaccinated, especially if you have not yet",1
208,"The #Omicron variant of COVID-19 has been detected in Northern California, with the highest numbers in Sacramento County.

The county is considering a moratorium on new mass testing and other",1
209,"I’m not sure how to feel right now.
I am deeply saddened by the news that @jimbob has passed away from COVID-19. He was one of my best",1
210,"I've been meditating on this for a while now.

In astrology, we have the end of age, which will lead to all kinds of problems like wars &amp; pandem",1
211,"COVID-19: The 'worst thing that's happened to the country'

#Delhi goes on a massive lockdown after an oxygen cylinder was found in the hospital.  The cylinder is",1
212,"A new study in @nature shows that the immune system at the heart of #COVID19 may have a role in protection from infection by Delta variant.

https://t.co/h",1
213,"A look at the latest #Covid19 data.

The number of new positive cases is now lower than it was a week ago and there were 5,081 active cases in England",1
214,"Podemos suspenda su actuación por solicitudes de personal sanitario 

El gobierno apoya a Podemos en la zona del COVID-19 ",1
215,"Unite the Right Rally in Washington DC.

Stay safe and use masks! 
#COVID19 https://t.co/8QhWq7vZS3
",1
216,"Boris Johnson has no idea what he's doing.

#Covid19 https://t.co/y9rF2f8QbH

###

  ",1
217,"The #COVID19 situation has become a big challenge for the country. The Health Ministry has issued a call to all health workers and their families, to refrain from working in crowded spaces or during peak",1
218,"Update from the @BMANewsdesk.

The Health &amp; Safety Executive (HSE) has issued an advice to practice letter on how to undertake a COVID-19 vaccination",1
219,"@KamalSudan, a 23yr old Spelling Bee who is living in #Jakarta has been diagnosed with Covid19. He suffered from heart problems and now he",1
220,"The number of #COVID19 cases in #Ontario has increased substantially since the beginning of this week.

The most recent update on the province's case rate is here: https://t",1
221,"A small but very important part of #COVID19 care is providing support to patients who are unable to get vaccinated because of prohibitive health costs. 

For example, in Ontario, the",1
222,"In today's update:
- about the new COVID-19 restrictions in Alberta
- more updates on vaccines, testing and other health related issues https://t.co/6CQZ",1
223,"The #COVID19 situation in the US is now more serious than usual.

Over 150,000 people have died and an additional 110 million Americans are still hospitalized. 

There is",1
224,"This summer, we are hosting a time of light and space for all our COVID-19 care staff to come together.

This will take place from 10am – 7pm on Monday 1",1
225,"DOE has approved the second dose of Pfizer's COVID-19 vaccine. The agency says it will allow communities to license vaccines and regulate their use, but that officials must certify a vaccine is",1
226,"A reminder that there is no COVID vaccine for kids. That's right, if you're under 12 years old and are not fully vaccinated or fully immunized against #COVID19 (or both",1
227,"The global #Covid19 pandemic is on the verge of a major turning point. The essential elements of resilience and return to normalcy will be taken into account, but also social isolation can",1
228,"Are you getting ready for your first #COVID19 vaccination? If so, here is a great article from @NYTimes about how to find a vaccine. 

https://t.co",1
229,"TOKYO (AFP) 

A woman in her 40s tests positive for COVID-19 and is now quarantined at the Tokyo Metropolitan government’s hospital, a spokesman",1
230,"NOOC to donate 10 lakh worth of oxygen cylinders to Kerala, says Prime Minister Narendra Modi

Read @ANI Story | https://t.co/DqyXh49a7x",1
